04/03/2025,01-2503-00065,25.03.008.02,SLM-00217DCO-01,04/03/2025,22/03/2025,SLM-00217DCO-01-16b,,3226329,Công ty TNHH Dorco vina,P3373 SVA4005-BX KR ONLINE IC,1,,Như lô gần nhất,"Như lô gần nhất 
- Hàng không được thiếu số lượng
- Số lượng trên đã bao gồm số tờ in CẤP THÊM 50 TỜ ĐỂ LẤY 20 MẪU MÀU CHUẨN. ĐỐC CÔNG XƯỞNG IN DUYỆT ĐỂ LẤY MẪU MÀU CẤP CHO PHÒNG KỸ THUẬT","16,688",686,"16,002","23,360",340,46.00%,1460,148,105,0,634,-452,16,1/2 trở khác,Nhóm 3,Couches TQ - Hikote,200,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
04/03/2025,01-2503-00067,25.03.009.01,SLM-00452HAV-02,04/03/2025,09/03/2025,SLM-00452HAV-02-4b,,0,Công Ty TNHH Dược Hanvet,"Hộp Clafotax, 1 gam (10 lọ x 1 gam)",2,,"Thêm mã QR code. Nội dung còn lại như cũ. Màu sắc, quy cách như cũ. Sửa tên sp là: Hộp Clafotax, 1 gam (10 lọ x 1 gam) (Tên sp cũ: Hộp Clafotax 10 lọ x 1 gam)","Ra bản mới Thêm mã QR code theo ECN số 6343.
- Nội dung còn lại như cũ. Màu sắc, quy cách như cũ.
- (Tên sp cũ: Hộp Clafotax 10 lọ x 1 gam)=> Sửa tên sp là: Hộp Clafotax, 1 gam (10 lọ x 1 gam)
- :o:-((:-h 03/10/2024
Cũ in giấy CM, lô này in giấy NB=> Chú ý in đúng màu và ra bản theo chế độ anh Tuấn chỉ định
- Cũ in giấy Hansol, lô này in giấy Hankuk=> Chú ý in đúng màu và ra bản theo chế độ anh Tuấn chỉ định","10,000",0,"10,000","10,880",150,9.00%,2720,135,53,65,-563,406,4,3,Nhóm 2,Duplex Hanson,350,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
04/03/2025,01-2503-00068,YCM.7574.2,SLM-00056HNA-10,04/03/2025,05/03/2025,SLM-00056HNA-10-9b,Mẫu,0,Công ty TNHH Dược Phẩm Hoa Linh Hà Nam,Hộp kem đánh răng Ngọc Châu truyền thống 100g,10,,-,"Nội dung theo mẫu đã in. Màu theo mẫu cũ=> Xưởng in duyệt màu khi in
- . Mẫu đã in khách báo bị loang màu
- Cần 6 bộ mẫu",-,0,18,"4,500",,24900.00%,500,45,35,185,-760,532,9,5,Nhóm 3,Ivory NingBo,350,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
04/03/2025,01-2503-00069,25.02.011.04,SLM-00031APT-01,,07/03/2025,SLM-00031APT-01-4b,Bù,0,Công ty TNHH ARTPRESTO Việt Nam,"Hộp đồ chơi VNF-081077~VNF-
081083 + VNF-081650 JAPAN ICHIBANKUJI SHINGEKINOKYOJIN SEKAI PRIZE I1 ~ I8 CHOKONOKKO
FIGURE",1,,Như mẫu khách hàng ký duyệt (Tone B). Tên cũ của sản phẩm là Hộp đồ chơi VNF-081004 JAPAN ICHIBANKUJI SHINGEKINOKYOJIN SEKAI PRIZE I CHOKONOKKO FIGURE,"""In bù LSX 01-2502-00677 = cần 1.627 cái
- Hàng không được thiếu số lượng
- Kho cấp hết ram thiếu ít xả K1000""","48,188",-482,"1,627","3,600",270,121.00%,900,70,70,70,598,-478,4,4,Nhóm 4,Ivory NingBo,350,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
04/03/2025,01-2503-00070,25.02.029.03,SLM-00437CPC-01,,07/03/2025,SLM-00437CPC-01-12b,Bù,H1-22-230224-H02479-C00783,Công ty cổ phần dược phẩm CPC1 Hà Nội,Hộp DTP Relaxx 4+5 ống 1ml,1,,Như lô gần nhất. Mã code H1-22-230224-H02479-C00783,"Như lô gần nhất. Mã code H1-22-230224-H02479-C00783
- In bù LSX 01-2502-00118 = cần 8.850 cái
- Hàng không được thiếu số lượng
- H mua giấy 04/3","12,000",0,"8,850","15,120",190,71.00%,1260,75,15,75,578,-455,12,5,Nhóm 2,Ivory ChenMing,350,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
04/03/2025,01-2503-00071,25.02.081.01,SLC-00008CHA-01,,04/03/2025,SLC-00008CHA-01-1b,,0,Công ty cổ phần chè Hùng An,Lót đáy Túi xách 1kg,1,,Như lô gần nhất,Xén xong dán vào túi chè lệnh 01-2502-00501,"5,000",0,"5,000","5,280",,6.00%,5280,295,75,0,-295,75,1,0,Nhóm 2,Ivory NingBo,350,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
05/03/2025,01-2503-00076,25.03.010.01,SLM-00050HNA-09,05/03/2025,15/03/2025,SLM-00050HNA-09-9b,,0,Công ty TNHH Dược Phẩm Hoa Linh Hà Nam,Hộp Kem đánh răng Ngọc Châu Trắng sáng 170g,9,,Như lô gần nhất. Mã hàng 188/24/CBMP-HNa. Tên cũ của sản phẩm là Hộp kem đánh răng Ngọc Châu 170g trắng sáng,"Như lô gần nhất. Mã hàng 188/24/CBMP-HNa. 
- Tên cũ của sản phẩm là Hộp kem đánh răng Ngọc Châu 170g trắng sáng","50,000",0,"50,000","53,640",200,7.00%,5960,55,40,210,-846,620,9,4,Nhóm 3,Ivory NingBo,350,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
05/03/2025,01-2503-00079,25.03.010.04,SLM-00151HNA-01,05/03/2025,15/03/2025,SLM-00151HNA-01-8b,,0,Công ty TNHH Dược Phẩm Hoa Linh Hà Nam,Toa Dầu xả Nguyên Xuân chắc khỏe,1,,Như lô gần nhất. Mã hàng 155/24/CBMP-HNa. Tên cũ của sản phẩm là Toa dầu xả dược liệu Nguyên Xuân chắc khoẻ 150ml,"Như lô gần nhất. Mã hàng 155/24/CBMP-HNa. 
- Tên cũ của sản phẩm là Toa dầu xả dược liệu Nguyên Xuân chắc khoẻ 150ml
- Xả K840 in ngược thớ khi in chú ý (Kiên KT OK)","30,000",630,"29,370","31,680",230,8.00%,3960,260,94,0,-532,406,8,5/5 trở nó,Nhóm 2,Bãi Bằng (GI),80,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
05/03/2025,01-2503-00080,YCM.7780,SLM-00720CPC-01,05/03/2025,10/03/2025,SLM-00720CPC-01-10b,Mẫu,H5-22-180225-H02218-C00783,Công ty cổ phần dược phẩm CPC1 Hà Nội,Hộp Novotane ultra - 4 vỉ x 5 ống 1ml (XK Cambodia),1,,-,"Nội dung theo maket.. Mã khách hàng H5-22-180225-H02218-C00783
- Màu theo mẫu khách gửi=> Xưởng in duyệt màu khi in
- Chế bản giãn file chiều 708 thêm 1.18mm và ra khuôn thúc nổi mới
- Cần 6 bộ mẫu",-,0,18,"4,500",,24900.00%,450,75,40,75,-708,497,10,5,Nhóm 2,Ivory NingBo,350,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
05/03/2025,01-2503-00081,YCM.7781,SLM-00721CPC-01,05/03/2025,10/03/2025,SLM-00721CPC-01-8b,Mẫu,T3-22-180225-T03253-C00783,Công ty cổ phần dược phẩm CPC1 Hà Nội,Toa Novotane Ultra 1ml (XK Cambodia),1,,-,"Nội dung theo maket. MÃ khách hàng T3-22-180225-T03253-C00783
- Màu sắc theo mẫu khách gửi. => Xưởng in duyệt màu khi in
- Cần 6 bộ mẫu",-,0,18,"2,400",,13233.00%,300,250,95,0,-580,360,8,5,Nhóm 2,Couches TQ - Nivea,80,Xả-Xén-In-Láng-Bế-Dán-Đóng Thùng
